Iteration	qeq	alpha_species	alpha_reference
10	0.0047	57.3091	8.6298
20	0.0019	35.4143	6.0655
30	0.0009	27.6170	4.9816
40	0.0006	24.9887	4.5302
50	0.0005	24.3402	4.3232
60	0.0004	24.4093	4.2098
70	0.0004	24.3891	4.1418
80	0.0004	24.2789	4.1129
90	0.0004	24.2507	4.0947
100	0.0004	24.2472	4.0851
110	0.0004	24.2362	4.0794
120	0.0004	24.2331	4.0763
130	0.0004	24.2297	4.0745
140	0.0004	24.2279	4.0734
150	0.0004	24.2265	4.0728
160	0.0004	24.2256	4.0724
170	0.0004	24.2251	4.0722
180	0.0004	24.2247	4.0721
190	0.0004	24.2245	4.0720
200	0.0004	24.2243	4.0720
210	0.0004	24.2242	4.0719
220	0.0004	24.2242	4.0719
230	0.0004	24.2242	4.0719
240	0.0004	24.2241	4.0719
250	0.0004	24.2241	4.0719
260	0.0004	24.2241	4.0719
270	0.0004	24.2241	4.0719
280	0.0004	24.2241	4.0719
290	0.0004	24.2241	4.0719
300	0.0004	24.2241	4.0719
310	0.0004	24.2241	4.0719
320	0.0004	24.2241	4.0719
330	0.0004	24.2241	4.0719
340	0.0003	24.2241	4.0719
350	0.0003	24.2241	4.0719
360	0.0003	24.2241	4.0719
370	0.0003	24.2241	4.0719
380	0.0003	24.2241	4.0719
390	0.0003	24.2241	4.0719
400	0.0003	24.2241	4.0719
410	0.0003	24.2241	4.0719
420	0.0003	24.2241	4.0719
430	0.0003	24.2241	4.0719
440	0.0003	24.2241	4.0719
450	0.0003	24.2241	4.0719
460	0.0003	24.2241	4.0719
470	0.0003	24.2241	4.0719
480	0.0003	24.2241	4.0719
490	0.0003	24.2241	4.0719
500	0.0003	24.2241	4.0719
510	0.0003	24.2241	4.0719
520	0.0003	24.2241	4.0719
530	0.0003	24.2241	4.0719
540	0.0003	24.2241	4.0719
550	0.0003	24.2241	4.0719
560	0.0003	24.2241	4.0719
570	0.0003	24.2241	4.0719
580	0.0003	24.2241	4.0719
590	0.0003	24.2241	4.0719
600	0.0003	24.2241	4.0719
610	0.0003	24.2241	4.0719
620	0.0003	24.2241	4.0719
630	0.0003	24.2241	4.0719
640	0.0003	24.2241	4.0719
650	0.0003	24.2241	4.0719
660	0.0003	24.2241	4.0719
670	0.0003	24.2241	4.0719
680	0.0003	24.2241	4.0719
690	0.0003	24.2241	4.0719
700	0.0003	24.2241	4.0719
710	0.0003	24.2241	4.0719
720	0.0003	24.2241	4.0719
730	0.0003	24.2241	4.0719
740	0.0003	24.2241	4.0719
750	0.0003	24.2241	4.0719
760	0.0003	24.2241	4.0719
770	0.0003	24.2241	4.0719
780	0.0003	24.2241	4.0719
790	0.0003	24.2241	4.0719
800	0.0003	24.2241	4.0719
810	0.0003	24.2241	4.0719
820	0.0003	24.2241	4.0719
830	0.0003	24.2241	4.0719
840	0.0003	24.2241	4.0719
850	0.0003	24.2241	4.0719
860	0.0003	24.2241	4.1589
870	0.0003	24.2241	4.1541
880	0.0003	24.2241	4.1381
890	0.0003	24.2241	4.1202
900	0.0004	24.2241	4.0824
910	0.0003	24.2241	4.0724
920	0.0003	24.2241	4.0720
930	0.0003	24.2241	4.0721
940	0.0004	24.2241	4.0720
950	0.0003	24.2241	4.0720
960	0.0003	24.2241	4.0719
970	0.0003	24.2241	4.0719
980	0.0003	24.2241	4.0719
990	0.0004	24.2241	4.0719
1000	0.0003	24.2241	4.0719
