Iteration	static	induced
10	0.0249	0.0230
20	0.0221	0.0212
30	0.0213	0.0199
40	0.0209	0.0189
50	0.0207	0.0181
60	0.0206	0.0175
70	0.0205	0.0170
80	0.0205	0.0166
90	0.0205	0.0162
100	0.0204	0.0159
110	0.0204	0.0156
120	0.0204	0.0153
130	0.0204	0.0151
140	0.0204	0.0148
150	0.0204	0.0146
160	0.0204	0.0144
170	0.0204	0.0142
180	0.0204	0.0141
190	0.0204	0.0139
200	0.0204	0.0137
210	0.0204	0.0136
220	0.0204	0.0135
230	0.0204	0.0133
240	0.0204	0.0132
250	0.0203	0.0131
260	0.0203	0.0130
270	0.0203	0.0129
280	0.0203	0.0128
290	0.0203	0.0127
300	0.0203	0.0126
310	0.0203	0.0125
320	0.0203	0.0124
330	0.0203	0.0123
340	0.0203	0.0123
350	0.0203	0.0122
360	0.0203	0.0121
370	0.0203	0.0121
380	0.0203	0.0120
390	0.0203	0.0119
400	0.0203	0.0119
410	0.0203	0.0118
420	0.0203	0.0118
430	0.0203	0.0117
440	0.0203	0.0117
450	0.0202	0.0117
460	0.0202	0.0116
470	0.0202	0.0116
480	0.0202	0.0115
490	0.0202	0.0115
500	0.0202	0.0115
510	0.0202	0.0114
520	0.0202	0.0114
530	0.0202	0.0114
540	0.0202	0.0113
550	0.0202	0.0113
560	0.0202	0.0113
570	0.0202	0.0113
580	0.0202	0.0112
590	0.0202	0.0112
600	0.0201	0.0112
610	0.0201	0.0112
620	0.0201	0.0112
630	0.0201	0.0111
640	0.0201	0.0111
650	0.0201	0.0111
660	0.0201	0.0111
670	0.0201	0.0111
680	0.0201	0.0111
690	0.0201	0.0110
700	0.0201	0.0110
710	0.0201	0.0110
720	0.0201	0.0110
730	0.0201	0.0110
740	0.0200	0.0110
750	0.0200	0.0110
760	0.0200	0.0110
770	0.0200	0.0110
780	0.0200	0.0109
790	0.0200	0.0109
800	0.0200	0.0109
810	0.0200	0.0109
820	0.0200	0.0109
830	0.0200	0.0109
840	0.0200	0.0109
850	0.0200	0.0109
860	0.0199	0.0109
870	0.0199	0.0109
880	0.0199	0.0109
890	0.0199	0.0109
900	0.0199	0.0109
910	0.0199	0.0109
920	0.0199	0.0109
930	0.0199	0.0108
940	0.0199	0.0108
950	0.0199	0.0108
960	0.0199	0.0108
970	0.0198	0.0108
980	0.0198	0.0108
990	0.0198	0.0108
1000	0.0198	0.0108
