Iteration	static	induced
10	0.0296	0.0285
20	0.0262	0.0251
30	0.0249	0.0231
40	0.0241	0.0218
50	0.0237	0.0209
60	0.0234	0.0202
70	0.0233	0.0196
80	0.0232	0.0191
90	0.0231	0.0187
100	0.0230	0.0184
110	0.0230	0.0180
120	0.0230	0.0177
130	0.0230	0.0174
140	0.0229	0.0172
150	0.0229	0.0169
160	0.0229	0.0167
170	0.0229	0.0165
180	0.0229	0.0163
190	0.0229	0.0161
200	0.0229	0.0159
210	0.0229	0.0157
220	0.0229	0.0156
230	0.0229	0.0154
240	0.0229	0.0153
250	0.0229	0.0151
260	0.0229	0.0150
270	0.0229	0.0149
280	0.0228	0.0148
290	0.0228	0.0147
300	0.0228	0.0145
310	0.0228	0.0144
320	0.0228	0.0143
330	0.0228	0.0142
340	0.0228	0.0142
350	0.0228	0.0141
360	0.0228	0.0140
370	0.0228	0.0139
380	0.0228	0.0138
390	0.0228	0.0137
400	0.0228	0.0137
410	0.0228	0.0136
420	0.0228	0.0135
430	0.0228	0.0135
440	0.0228	0.0134
450	0.0228	0.0134
460	0.0228	0.0133
470	0.0228	0.0132
480	0.0228	0.0132
490	0.0228	0.0131
500	0.0228	0.0131
510	0.0228	0.0131
520	0.0227	0.0130
530	0.0227	0.0130
540	0.0227	0.0129
550	0.0227	0.0129
560	0.0227	0.0128
570	0.0227	0.0128
580	0.0227	0.0128
590	0.0227	0.0127
600	0.0227	0.0127
610	0.0227	0.0127
620	0.0227	0.0127
630	0.0227	0.0126
640	0.0227	0.0126
650	0.0227	0.0126
660	0.0227	0.0125
670	0.0227	0.0125
680	0.0227	0.0125
690	0.0227	0.0125
700	0.0227	0.0125
710	0.0226	0.0124
720	0.0226	0.0124
730	0.0226	0.0124
740	0.0226	0.0124
750	0.0226	0.0124
760	0.0226	0.0123
770	0.0226	0.0123
780	0.0226	0.0123
790	0.0226	0.0123
800	0.0226	0.0123
810	0.0226	0.0123
820	0.0226	0.0122
830	0.0226	0.0122
840	0.0226	0.0122
850	0.0226	0.0122
860	0.0226	0.0122
870	0.0226	0.0122
880	0.0225	0.0122
890	0.0225	0.0122
900	0.0225	0.0121
910	0.0225	0.0121
920	0.0225	0.0121
930	0.0225	0.0121
940	0.0225	0.0121
950	0.0225	0.0121
960	0.0225	0.0121
970	0.0225	0.0121
980	0.0225	0.0121
990	0.0225	0.0121
1000	0.0225	0.0121
