Iteration	qeq	alpha_species	alpha_reference
10	0.0055	56.3418	8.1698
20	0.0018	34.6596	5.8403
30	0.0010	26.9589	4.8078
40	0.0006	24.3725	4.3645
50	0.0005	23.7548	4.1458
60	0.0004	23.8295	4.0491
70	0.0004	23.8001	4.0134
80	0.0004	23.6864	3.9924
90	0.0004	23.6592	3.9787
100	0.0004	23.6544	3.9711
110	0.0003	23.6429	3.9664
120	0.0003	23.6393	3.9633
130	0.0003	23.6357	3.9613
140	0.0003	23.6337	3.9599
150	0.0003	23.6322	3.9590
160	0.0003	23.6313	3.9583
170	0.0003	23.6306	3.9578
180	0.0003	23.6302	3.9574
190	0.0003	23.6300	3.9572
200	0.0003	23.6299	3.9570
210	0.0003	23.6298	3.9569
220	0.0003	23.6297	3.9568
230	0.0003	23.6297	3.9568
240	0.0003	23.6297	3.9567
250	0.0003	23.6297	3.9567
260	0.0003	23.6297	3.9567
270	0.0003	23.6297	3.9567
280	0.0003	23.6297	3.9567
290	0.0003	23.6297	3.9567
300	0.0003	23.6297	3.9567
310	0.0003	23.6297	3.9567
320	0.0003	23.6297	3.9567
330	0.0003	23.6297	3.9566
340	0.0003	23.6297	3.9566
350	0.0003	23.6297	3.9566
360	0.0003	23.6297	3.9566
370	0.0003	23.6297	3.9566
380	0.0003	23.6297	3.9566
390	0.0003	23.6297	3.9566
400	0.0003	23.6297	3.9566
410	0.0003	23.6297	3.9566
420	0.0003	23.6297	3.9566
430	0.0003	23.6297	3.9566
440	0.0003	23.6297	3.9566
450	0.0003	23.6297	3.9566
460	0.0003	23.6297	3.9566
470	0.0003	23.6297	3.9566
480	0.0003	23.6297	3.9566
490	0.0003	23.6297	3.9566
500	0.0003	23.6297	3.9566
510	0.0003	23.6297	3.9566
520	0.0003	23.6297	3.9566
530	0.0003	23.6297	3.9566
540	0.0003	23.6297	3.9566
550	0.0003	23.6297	3.9566
560	0.0003	23.6297	3.9566
570	0.0003	23.6297	3.9566
580	0.0003	23.6297	3.9566
590	0.0003	23.6297	3.9566
600	0.0003	23.6297	3.9566
610	0.0003	23.6297	3.9566
620	0.0003	23.6297	3.9566
630	0.0003	23.6297	3.9566
640	0.0003	23.6297	3.9566
650	0.0003	23.6297	3.9566
660	0.0003	23.6297	3.9566
670	0.0003	23.6297	3.9566
680	0.0003	23.6297	3.9566
690	0.0003	23.6297	3.9566
700	0.0003	23.6297	3.9566
710	0.0003	23.6297	3.9566
720	0.0003	23.6297	3.9566
730	0.0003	23.6297	3.9566
740	0.0003	23.6297	3.9566
750	0.0003	23.6297	3.9566
760	0.0003	23.6297	3.9566
770	0.0003	23.6297	3.9566
780	0.0003	23.6297	3.9566
790	0.0003	23.6297	3.9566
800	0.0003	23.6297	3.9593
810	0.0003	23.6297	4.0667
820	0.0003	23.6297	3.9694
830	0.0003	23.6297	3.9943
840	0.0003	23.6297	3.9796
850	0.0003	23.6297	3.9626
860	0.0002	23.6297	3.9574
870	0.0002	23.6297	3.9567
880	0.0002	23.6297	3.9566
890	0.0003	23.6297	3.9566
900	0.0002	23.6297	3.9566
910	0.0002	23.6297	3.9567
920	0.0003	23.6297	3.9567
930	0.0007	23.6297	3.9567
940	0.0003	23.6297	3.9566
950	0.0002	23.6297	3.9566
960	0.0003	23.6297	3.9566
970	0.0002	23.6297	3.9566
980	0.0002	23.6297	3.9566
990	0.0002	23.6297	3.9566
1000	0.0002	23.6297	3.9566
