Iteration	static	induced
10	0.0296	0.0601
20	0.0262	0.0547
30	0.0249	0.0530
40	0.0241	0.0527
50	0.0237	0.0524
60	0.0234	0.0522
70	0.0233	0.0520
80	0.0232	0.0518
90	0.0231	0.0516
100	0.0230	0.0514
110	0.0230	0.0512
120	0.0230	0.0510
130	0.0230	0.0509
140	0.0229	0.0507
150	0.0229	0.0506
160	0.0229	0.0504
170	0.0229	0.0503
180	0.0229	0.0502
190	0.0229	0.0501
200	0.0229	0.0500
210	0.0229	0.0499
220	0.0229	0.0498
230	0.0229	0.0497
240	0.0229	0.0497
250	0.0229	0.0496
260	0.0229	0.0495
270	0.0229	0.0495
280	0.0228	0.0494
290	0.0228	0.0494
300	0.0228	0.0494
310	0.0228	0.0493
320	0.0228	0.0493
330	0.0228	0.0493
340	0.0228	0.0492
350	0.0228	0.0492
360	0.0228	0.0492
370	0.0228	0.0492
380	0.0228	0.0492
390	0.0228	0.0492
400	0.0228	0.0491
410	0.0228	0.0491
420	0.0228	0.0491
430	0.0228	0.0491
440	0.0228	0.0491
450	0.0228	0.0491
460	0.0228	0.0491
470	0.0228	0.0491
480	0.0228	0.0491
490	0.0228	0.0491
500	0.0228	0.0491
510	0.0228	0.0491
520	0.0227	0.0491
530	0.0227	0.0491
540	0.0227	0.0491
550	0.0227	0.0491
560	0.0227	0.0491
570	0.0227	0.0491
580	0.0227	0.0491
590	0.0227	0.0491
600	0.0227	0.0491
610	0.0227	0.0491
620	0.0227	0.0491
630	0.0227	0.0491
640	0.0227	0.0491
650	0.0227	0.0491
660	0.0227	0.0491
670	0.0227	0.0491
680	0.0227	0.0491
690	0.0227	0.0491
700	0.0227	0.0491
710	0.0226	0.0491
720	0.0226	0.0491
730	0.0226	0.0491
740	0.0226	0.0491
750	0.0226	0.0491
760	0.0226	0.0491
770	0.0226	0.0491
780	0.0226	0.0491
790	0.0226	0.0491
800	0.0226	0.0491
810	0.0226	0.0491
820	0.0226	0.0491
830	0.0226	0.0491
840	0.0226	0.0491
850	0.0226	0.0491
860	0.0226	0.0491
870	0.0226	0.0491
880	0.0225	0.0491
890	0.0225	0.0491
900	0.0225	0.0491
910	0.0225	0.0491
920	0.0225	0.0491
930	0.0225	0.0491
940	0.0225	0.0491
950	0.0225	0.0491
960	0.0225	0.0491
970	0.0225	0.0491
980	0.0225	0.0491
990	0.0225	0.0491
1000	0.0225	0.0491
